Title,Location,Price,Description,Link
"1-комн. кв., 32 м2, 2 этаж из 4","Бишкек, 8 м-н","$ 28 700,2 433 441 сом","Срочно! Продаю 1ком квартиру.8мкр по Жукеева Пудовкина.
•На 2 этаж из 4-х,  не угловая
•104 серии, балкон застеклённый
•Окна смотрят на юг
•Очень тепл...",https://www.house.kg/details/58457261c66a3f3b02e8-03229668
"3-комн. кв., 71 м2, 5 этаж из 5","Бишкек, Золотой квадрат, Логвиненко/Киевская","$ 63 000,5 341 701 сом","Продается просторная, светлая, теплая 3-х комнатная квартира в центре (Логвиненко/Киевская).

Дом кирпичный, планировка индивидуальная, 5/5 + техничес...",https://www.house.kg/details/8955720619f38d1b936c3-21773482
"4-комн. кв., 140 м2, 2 этаж из 5","Лебединовка, с. Лебединовка, ул. Мичурина 11","$ 110 000,9 326 779 сом","Продаю 4 комнатную квартиру
ЖК Мичуринский квартал
Ауэзова / Салиева
Немецкий проект
Площадь 140м2
Этаж 2 и 6
Под псо
White box
Дом премиум класса, ли...",https://www.house.kg/details/77169476189f152227110-70514780
"Дом, 6 и более комнат, 341 м2","Бишкек, Ала-Арча ж/м","$ 390 000,33 067 671 сом","Продаю шикарный 2 этажный особняк 
с. Ортосай , ориентир ВИП городок ""BRAVO""
Общая площадь -341м2 
Участок-5 соток на красной книге 
Тип строения-кирп...",https://www.house.kg/details/78273666189ee57587537-42231181
"2-комн. кв., 62 м2, 6 этаж из 12","Бишкек, КНУ, Фрунзе 571/Уметалиева","$ 42 000,3 561 134 сом",,https://www.house.kg/details/464890061c838f4dea157-65373672
"2-комн. кв., 59.6 м2, 3 этаж из 9","Бишкек, Джал-29 м-н, Тыналиева/Южная Магистраль","$ 36 000,3 052 400 сом",,https://www.house.kg/details/3675859618a86451f21d6-97763446
"Коммерческая недвижимость, 29 м2","Бишкек, Дордой Плаза, Ibraimova 115","$ 12 000,1 017 467 сом","Продаётся бутик 31 кВ.М в ТЦ «Дордой Плаза»
⠀
Бутик находится на втором этаже ТЦ «Дордой Плаза» (Ибрагимова 115)
2 этаж / G6 (рядом со столовой Кантин...",https://www.house.kg/details/365094361c7612d158586-88979306
"Коммерческая недвижимость, 3000 м2","Чолпон-Ата, Ленина 1/Акималиева","$ 840 000,71 222 676 сом","Продаю строящееся здание в центре г. Чолпон-Ата. Назначение - гостиничный комплекс. Площадью 3000 кв.м. Участок - 40 соток. Центральная канализация, в...",https://www.house.kg/details/672507961a4ba54247322-07666785
"Дом, 6 и более комнат, 180 м2","Бишкек, Пишпек ж/м, Маликова 38/Аммосова","$ 135 000,11 446 502 сом","Продаётся дом в Пишпеке!
Очень тихий район
Дом кирпичный, строили для себя
Все коммуникации (газ, вода, канализация, свет, интернет) 
Отопление: твёрд...",https://www.house.kg/details/412880561a4e0a6f0c683-69447520
"3-комн. кв., 120 м2, 3 этаж из 12","Бишкек, 7 м-н, юнусалиева/шопена","$ 110 000,9 326 779 сом","Срочно продаю 3х ком квартиру с евро ремонтом. На 3 этаже из 12.
Застройщик МегаСтрой
ЖК Мега Сити
Квадратура 120м2
Все центральные коммуникации.
Тех ...",https://www.house.kg/details/882580160ed252af23ce1-85658887
"2-комн. кв., 60 м2, 2 этаж из 12","Бишкек, Филармония, Московская -Турусбекова","$ 57 500,4 875 362 сом","Прод 2-х к.квартиру с отличным ремонтом в районе филармонии Московская/турусбекова общая площадь-60 м2 2 этаж из 12 комуникации все центральные,тех па...",https://www.house.kg/details/88345660ed25151a9d49-86809465
"3-комн. кв., 91 м2, 6 этаж из 12",Бишкек,"$ 75 000,6 359 168 сом","Срочно продаю 3х ком квартиру 
Застройщик: «Ихлас»
Жилой комплекс: «Ботанический Сад»
Этаж 6 из 12
Площадь: 91.11м2
Окна выходят на ЮГ
С отличным р...",https://www.house.kg/details/609100560ed2508e8e868-62882419
"1-комн. кв., 46 м2, 6 этаж из 14","Бишкек, Магистраль, Сухэ-Батора/Токомбаева","$ 39 500,3 349 162 сом","Срочно продаётся однокомнатная квартира в элитном микрорайоне Асанбай, южный центр столицы Ж/К АНГЛИЙСКОЙ КВАРТАЛ Застройщик НУР-ЗАМАН Высокое качеств...",https://www.house.kg/details/811907260ed24a3085bb9-64513587
"Дом, 2-комн., 38 м2","Бишкек, 110 квартал ж/м, Темировская 28/Бурулдайский переулок","$ 32 000,2 713 245 сом","🌟Продаю уютный домик для небольшой семьи. С мебелью и техникой/частично. Свежий ремонт сделан полностью.👨‍🔧 Заходи и живи! 
🌟Участок 7,5 соток + своя ...",https://www.house.kg/details/7410397614d8b65e7ef70-70503461
"3-комн. кв., 122 м2, 11 этаж из 14","Бишкек, Магистраль, Сухэ-Батора/Токомбаева","$ 93 000,7 885 368 сом","Срочно Продаю 3х ком кв 
 на 11 этаже из 13- этажного дома +дизайнерский проект от 
""Neo Style"" 
с авторским надзором под ключ VIP пакет от надёжной с...",https://www.house.kg/details/817187960ed2439db7cb7-04988900
"Участок, 7 соток","Бишкек, 110 квартал ж/м, Темировская 28/Бурулдайский переулок","$ 32 000,2 713 245 сом","❗Продаю участок 7,4 сотки в Бишкеке. Своя скважина - колонка, насос.
❗К участку прилагается 🏡дом 38 кв.м с мебелью и техникой. 
❗Также пристроено ново...",https://www.house.kg/details/942385361a9c057a20851-16712280
"2-комн. кв., 60 м2, 2 этаж из 12","Бишкек, Филармония, московская/турусбекова","$ 57 500,4 875 362 сом","Прод 2-х к.квартиру с отличным ремонтом 
в районе филармонии Московская/турусбекова 
общая площадь-60 м2 
2 этаж из 12 
коммуникации все центральные, ...",https://www.house.kg/details/277734560ed23e536c896-79613488
